step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
46,4,9,2,8,1,-1.0,0.6125,613,-0.96844,1
46,4,9,6,8,2,-1.0,0.3875,387,-0.9684,0
47,2,8,4,7,4,-1.0,1.0,1000,-0.96839,1
48,4,7,6,8,1,-1.0,0.34123,341,-0.96843,0
48,4,7,5,9,2,-1.0,0.3842,385,-0.96851,1
48,4,7,2,6,0,-1.0,0.07113,71,-0.96874,0
48,4,7,6,6,4,-1.0,0.20344,203,-0.96845,0
49,5,9,6,7,2,-1.0,0.42106,421,-0.96843,0
49,5,9,7,8,4,-1.0,0.57894,579,-0.96842,1
50,7,8,9,9,1,-1.0,0.37148,372,-0.96849,0
50,7,8,6,6,3,-1.0,0.10077,100,-0.96843,0
50,7,8,8,6,2,-1.0,0.04677,46,-0.96852,0
50,7,8,9,7,1,-1.0,0.48098,482,-0.96849,1
51,9,7,8,5,4,-1.0,1.0,1000,-0.96839,1
52,8,5,7,7,1,-1.0,0.33592,336,-0.96846,0
52,8,5,6,6,2,-1.0,0.34424,345,-0.96852,1
52,8,5,7,3,2,-1.0,0.21145,211,-0.96844,0
52,8,5,9,3,1,-1.0,0.10839,108,-0.96854,0
53,6,6,8,7,4,-1.0,0.18399,184,-0.96853,0
53,6,6,5,4,1,-1.0,0.81601,816,-0.9684,1
54,5,4,7,3,1,-1.0,1.0,1000,-0.96839,1
55,7,3,8,1,1,-1.0,1.0,1000,-0.96839,1
1,1,1,2,3,5,-1.0,0.20571,205,-0.96841,0
1,1,1,0,3,3,-1.0,0.79429,795,-0.96843,1
2,0,3,2,4,4,-1.0,0.24511,245,-0.96848,0
2,0,3,1,5,4,-1.0,0.58541,586,-0.96845,1
2,0,3,2,2,5,-1.0,0.16948,169,-0.96846,0
3,1,5,3,6,7,-1.0,0.28467,285,-0.96851,0
3,1,5,2,7,6,-1.0,0.04809,48,-0.96895,0
3,1,5,2,3,4,-1.0,0.29559,295,-0.9684,0
3,1,5,3,4,6,-1.0,0.37164,372,-0.96848,1
4,3,4,5,5,3,-1.0,0.29214,292,-0.96845,1
4,3,4,4,6,6,-1.0,0.14658,146,-0.96845,0
4,3,4,2,6,3,-1.0,0.15076,151,-0.96862,0
4,3,4,2,2,4,-1.0,0.07382,74,-0.96886,0
4,3,4,4,2,5,-1.0,0.17173,172,-0.96859,0
4,3,4,5,3,4,-1.0,0.16497,165,-0.96856,0
5,5,5,6,7,5,-1.0,0.18368,183,-0.96842,0
5,5,5,3,6,6,-1.0,0.4559,456,-0.96844,1
5,5,5,7,4,6,-1.0,0.36042,361,-0.9685,0
6,3,6,5,7,3,-1.0,0.25818,258,-0.96846,1
6,3,6,4,8,4,-1.0,0.119,119,-0.96863,0
6,3,6,2,8,2,-1.0,0.25049,250,-0.96843,0
6,3,6,1,7,4,-1.0,0.02198,22,-0.96976,0
6,3,6,2,4,3,-1.0,0.13175,132,-0.96866,0
6,3,6,4,4,4,-1.0,0.2186,219,-0.96856,0
7,5,7,7,8,4,-1.0,0.07199,72,-0.9688,0
7,5,7,6,9,3,-1.0,0.39894,399,-0.96845,0
7,5,7,6,5,6,-1.0,0.52907,529,-0.96842,1
8,6,5,8,6,4,-1.0,0.0239,23,-0.96849,0
8,6,5,7,7,4,-1.0,0.10506,105,-0.96864,0
8,6,5,4,6,5,-1.0,0.10826,108,-0.96858,0
8,6,5,4,4,3,-1.0,0.20485,205,-0.96854,0
8,6,5,5,3,3,-1.0,0.21768,218,-0.96855,0
8,6,5,8,4,0,-1.0,0.34024,341,-0.96852,1
1,1,1,3,2,5,-1.0,0.12111,121,-0.96859,0
1,1,1,2,3,3,-1.0,0.28221,282,-0.96845,0
1,1,1,0,3,2,-1.0,0.41854,419,-0.96847,1
1,1,1,3,0,3,-1.0,0.17815,178,-0.96851,0
2,0,3,2,4,7,-1.0,0.74102,741,-0.9684,1
2,0,3,2,2,4,-1.0,0.25898,259,-0.96849,0
3,2,4,4,5,6,-1.0,0.10135,101,-0.96856,0
3,2,4,3,6,5,-1.0,0.13623,136,-0.96854,0
3,2,4,1,6,3,-1.0,0.14904,149,-0.96856,0
3,2,4,0,5,2,-1.0,0.16699,167,-0.96855,0
3,2,4,1,2,2,-1.0,0.09661,97,-0.96881,0
3,2,4,3,2,4,-1.0,0.09355,93,-0.96851,0
3,2,4,4,3,6,-1.0,0.25623,257,-0.96858,1
4,4,3,6,4,5,-1.0,0.15844,158,-0.96847,0
4,4,3,5,5,6,-1.0,0.17578,176,-0.96858,0
4,4,3,3,5,4,-1.0,0.19767,198,-0.96857,0
4,4,3,2,2,3,-1.0,0.07827,78,-0.96865,0
4,4,3,5,1,4,-1.0,0.14258,143,-0.96867,0
4,4,3,6,2,4,-1.0,0.24725,247,-0.96846,1
5,6,2,8,3,4,-1.0,0.02125,21,-0.96944,0
5,6,2,7,4,6,-1.0,0.17433,174,-0.96848,0
5,6,2,7,0,1,-1.0,0.49033,491,-0.96847,1
5,6,2,8,1,3,-1.0,0.31409,314,-0.96845,0
6,7,0,5,1,3,-1.0,1.0,1000,-0.96839,1
7,5,1,7,2,6,-1.0,0.05072,50,-0.96853,0
7,5,1,3,2,3,-1.0,0.35738,358,-0.9685,0
7,5,1,3,0,2,-1.0,0.59189,592,-0.96842,1
8,3,0,4,2,4,-1.0,0.71698,717,-0.96841,1
8,3,0,2,2,2,-1.0,0.28302,283,-0.96847,0
9,4,2,3,4,4,-1.0,0.2213,221,-0.96846,0
9,4,2,2,3,2,-1.0,0.21531,215,-0.96846,0
9,4,2,2,1,3,-1.0,0.18141,181,-0.96846,0
9,4,2,6,1,4,-1.0,0.38198,383,-0.96853,1
10,6,1,7,3,3,-1.0,0.14679,146,-0.96841,0
10,6,1,5,3,5,-1.0,0.19782,198,-0.96855,0
10,6,1,4,0,3,-1.0,0.19188,192,-0.96855,0
10,6,1,8,0,2,-1.0,0.46352,464,-0.96846,1
11,8,0,9,2,3,-1.0,0.74107,741,-0.9684,1
11,8,0,7,2,5,-1.0,0.25893,259,-0.96849,0
12,9,2,8,4,3,-1.0,0.3248,325,-0.96848,0
12,9,2,7,3,2,-1.0,0.24821,248,-0.96846,0
12,9,2,7,1,2,-1.0,0.42699,427,-0.96844,1
13,7,1,8,3,3,-1.0,0.65822,658,-0.9684,1
13,7,1,5,2,6,-1.0,0.34178,342,-0.96847,0
14,8,3,9,5,2,-1.0,0.58283,583,-0.96842,1
14,8,3,7,5,2,-1.0,0.25299,253,-0.96849,0
14,8,3,6,4,4,-1.0,0.16417,164,-0.96852,0
15,9,5,7,6,6,-1.0,0.35557,355,-0.9684,0
15,9,5,7,4,5,-1.0,0.64443,645,-0.96844,1
16,7,4,8,6,2,-1.0,0.24162,242,-0.96854,1
16,7,4,6,6,3,-1.0,0.16197,162,-0.96856,0
16,7,4,5,5,5,-1.0,0.22036,220,-0.96845,0
16,7,4,5,3,4,-1.0,0.15304,153,-0.96856,0
16,7,4,9,3,2,-1.0,0.22301,223,-0.9685,0
17,8,6,9,8,2,-1.0,0.84447,845,-0.96842,1
17,8,6,6,7,6,-1.0,0.15553,155,-0.96846,0
18,9,8,7,9,2,-1.0,0.81928,820,-0.96843,1
18,9,8,7,7,4,-1.0,0.18072,180,-0.96841,0
19,7,9,5,8,4,-1.0,0.63945,640,-0.96844,1
19,7,9,6,7,5,-1.0,0.36055,360,-0.9684,0
20,5,8,3,9,3,-1.0,0.50127,502,-0.96847,1
20,5,8,3,7,6,-1.0,0.20805,208,-0.96851,0
20,5,8,6,6,2,-1.0,0.20862,208,-0.96842,0
20,5,8,7,7,3,-1.0,0.08207,82,-0.96872,0
21,3,9,1,8,3,-1.0,0.66605,667,-0.96845,1
21,3,9,2,7,3,-1.0,0.2185,218,-0.96843,0
21,3,9,4,7,7,-1.0,0.11545,115,-0.96851,0
22,1,8,0,6,2,-1.0,0.5115,512,-0.96845,1
22,1,8,2,6,6,-1.0,0.11123,111,-0.96858,0
22,1,8,3,7,5,-1.0,0.37727,377,-0.96842,0
23,0,6,2,7,2,-1.0,0.4062,406,-0.96842,0
23,0,6,2,5,4,-1.0,0.5938,594,-0.96843,1
24,2,5,3,7,4,-1.0,0.20446,204,-0.96844,0
24,2,5,1,7,5,-1.0,0.13201,132,-0.9686,0
24,2,5,3,3,4,-1.0,0.32379,324,-0.96848,0
24,2,5,4,4,4,-1.0,0.33973,340,-0.96848,1
25,4,4,3,6,4,-1.0,0.43367,434,-0.96846,1
25,4,4,2,3,1,-1.0,0.36218,363,-0.96852,0
25,4,4,3,2,2,-1.0,0.11861,118,-0.96847,0
25,4,4,5,2,5,-1.0,0.08554,85,-0.96853,0
26,3,6,4,8,4,-1.0,0.15769,157,-0.96842,0
26,3,6,2,8,5,-1.0,0.05712,57,-0.96884,0
26,3,6,1,7,4,-1.0,0.15673,157,-0.96862,0
26,3,6,5,5,4,-1.0,0.62846,629,-0.96844,1
27,5,5,7,6,5,-1.0,0.07619,76,-0.96869,0
27,5,5,6,7,4,-1.0,0.18171,182,-0.96858,0
27,5,5,4,7,6,-1.0,0.14153,141,-0.96847,0
27,5,5,3,4,3,-1.0,0.60056,601,-0.96844,1
28,3,4,2,6,5,-1.0,0.20726,207,-0.96847,0
28,3,4,2,2,1,-1.0,0.26672,267,-0.96851,0
28,3,4,5,3,3,-1.0,0.52602,526,-0.96842,1
29,5,3,4,5,5,-1.0,0.3953,395,-0.96842,0
29,5,3,3,2,1,-1.0,0.4992,500,-0.96848,1
29,5,3,7,2,4,-1.0,0.10551,105,-0.96851,0
30,3,2,4,0,2,-1.0,1.0,1000,-0.96839,1
31,4,0,5,2,4,-1.0,0.45634,456,-0.96841,0
31,4,0,2,1,2,-1.0,0.54366,544,-0.96844,1
32,2,1,3,3,3,-1.0,0.11034,110,-0.96855,0
32,2,1,0,0,1,-1.0,0.88966,890,-0.96841,1
33,0,0,1,2,1,-1.0,1.0,1000,-0.96839,1
34,1,2,3,3,2,-1.0,1.0,1000,-0.96839,1
35,3,3,4,5,4,-1.0,0.58773,588,-0.96843,1
35,3,3,5,2,3,-1.0,0.41227,412,-0.96842,0
36,4,5,6,6,1,-1.0,0.35977,360,-0.96847,0
36,4,5,3,7,3,-1.0,0.14798,148,-0.96858,0
36,4,5,2,6,4,-1.0,0.09661,96,-0.96849,0
36,4,5,6,4,3,-1.0,0.39564,396,-0.96847,1
