step,current_x,current_y,move_x,move_y,degree,Q,P,N,PUCT,is_best
1,5,5,6,3,7,0.0,0.125,62,0.04441,0
1,5,5,7,4,7,0.0,0.125,62,0.04441,0
2,7,6,9,7,3,0.0,0.19774,99,0.04426,1
2,7,6,8,8,3,0.0,0.19774,99,0.04426,0
2,7,6,6,8,5,0.0,0.11864,60,0.04353,0
2,7,6,5,7,7,0.0,0.08475,42,0.04411,0
2,7,6,6,4,7,0.0,0.08475,42,0.04411,0
2,7,6,8,4,5,0.0,0.11864,59,0.04426,0
2,7,6,9,5,3,0.0,0.19774,99,0.04426,0
3,9,7,8,9,2,0.0,0.55555,278,0.04457,1
3,9,7,7,8,5,0.0,0.22222,111,0.04441,0
3,9,7,8,5,5,0.0,0.22222,111,0.04441,0
4,8,9,6,8,4,0.0,0.63636,318,0.04465,1
4,8,9,7,7,7,0.0,0.36364,182,0.04448,0
5,6,8,4,9,3,0.0,0.39548,198,0.04448,1
5,6,8,4,7,6,0.0,0.19774,99,0.04426,0
5,6,8,5,6,7,0.0,0.16949,85,0.04411,0
5,6,8,8,7,5,0.0,0.23729,118,0.04463,0
6,4,9,2,8,5,-0.01205,0.39252,166,0.04056,0
6,4,9,3,7,7,0.0,0.28037,154,0.04049,0
6,4,9,5,7,6,0.0,0.3271,180,0.04045,1
7,5,7,7,8,4,0.0,0.20231,101,0.0444,0
7,5,7,6,9,3,0.0,0.26975,135,0.0444,1
7,5,7,3,8,5,0.0,0.16185,81,0.04418,0
7,5,7,3,6,6,0.0,0.13487,67,0.0444,0
7,5,7,4,5,7,0.0,0.11561,58,0.04386,0
7,5,7,6,5,7,0.0,0.11561,58,0.04386,0
8,6,9,4,8,5,0.0,0.23077,115,0.04453,0
8,6,9,7,7,6,0.0,0.19231,96,0.04438,0
8,6,9,8,8,2,0.0,0.57692,289,0.04453,1
9,8,8,6,7,6,0.0,0.33333,167,0.04441,0
9,8,8,9,6,3,0.0,0.66667,333,0.04468,1
10,9,6,7,7,5,0.0,0.33735,169,0.04442,0
10,9,6,7,5,7,0.0,0.24096,120,0.04457,0
10,9,6,8,4,4,0.0,0.42169,211,0.04452,1
11,8,4,6,5,6,0.0,0.20588,103,0.04431,0
11,8,4,6,3,6,0.0,0.20588,103,0.04431,0
11,8,4,7,2,7,0.0,0.17647,88,0.04438,0
11,8,4,9,2,3,0.0,0.41176,206,0.04452,1
12,9,2,7,3,7,0.0,0.16949,89,0.04215,0
12,9,2,7,1,5,-0.01,0.23729,100,0.04259,0
12,9,2,8,0,2,0.0,0.59322,311,0.04256,1
13,8,0,7,2,6,0.0,0.45455,227,0.04462,0
13,8,0,6,1,5,0.0,0.54545,273,0.04456,1
14,6,1,8,2,5,-0.0122,0.2029,82,0.04252,0
14,6,1,7,3,6,0.0,0.16908,89,0.04205,0
14,6,1,5,3,7,0.0,0.14493,76,0.04213,0
14,6,1,4,2,7,0.0,0.14493,76,0.04213,0
14,6,1,4,0,3,0.0,0.33816,177,0.04252,1
15,4,0,5,2,7,0.0,0.29412,162,0.04039,0
15,4,0,3,2,7,0.0,0.29412,161,0.04064,0
15,4,0,2,1,5,-0.0113,0.41176,177,0.04048,1
16,2,1,4,2,6,0.0,0.09044,52,0.03819,0
16,2,1,3,3,7,-0.05882,0.07752,17,0.03757,0
16,2,1,1,3,5,-0.02778,0.10853,36,0.03788,0
16,2,1,0,2,3,-0.01266,0.18088,79,0.03795,0
16,2,1,0,0,1,0.0,0.54263,316,0.03831,1
17,0,0,1,2,5,0.0,1.0,500,0.04468,1
18,1,2,3,3,6,0.0,0.1417,71,0.04405,0
18,1,2,2,4,7,0.0,0.12146,60,0.04457,0
18,1,2,0,4,3,0.0,0.2834,142,0.04436,1
18,1,2,2,0,3,0.0,0.2834,142,0.04436,0
18,1,2,3,1,5,0.0,0.17004,85,0.04426,0
19,0,4,2,5,7,0.0,0.29412,147,0.04448,0
19,0,4,1,6,5,0.0,0.41176,206,0.04452,1
19,0,4,2,3,7,0.0,0.29412,147,0.04448,0
20,1,6,3,7,6,0.0,0.13592,71,0.04225,0
20,1,6,2,8,4,-0.01205,0.20388,83,0.04228,0
20,1,6,0,8,2,0.0,0.40777,214,0.04245,1
20,1,6,2,4,6,0.0,0.13592,71,0.04225,0
20,1,6,3,5,7,0.0,0.11651,61,0.04206,0
21,0,8,2,9,3,-0.00292,0.7,343,0.04263,1
21,0,8,2,7,7,0.0,0.3,157,0.0425,0
22,2,9,1,7,5,-0.01515,0.30769,132,0.03663,0
22,2,9,3,7,5,0.0,0.30769,164,0.04174,0
22,2,9,4,8,4,0.0,0.38462,204,0.04199,1
23,4,8,2,7,6,0.0,0.22727,114,0.04424,0
23,4,8,3,6,5,0.0,0.27273,136,0.04456,1
23,4,8,5,6,6,0.0,0.22727,114,0.04424,0
